trial_idx,cue,color1_deg,color2_deg,same_color,sw_Healthy_vs_Ablated_1,sw_Healthy_vs_Student_0,sw_Healthy_vs_Student_1,sw_Ablated_1_vs_Student_0,sw_Ablated_1_vs_Student_1,sw_Student_0_vs_Student_1,teacher_vs_students_mean,teacher_vs_students_std
145,2,0.0,30.0,False,0.9160753104987174,0.45684251686377536,0.8556195206991324,0.5782213385983028,0.13264120184340802,0.476167339327639,0.7428457826872084,0.20373532941265549
146,2,0.0,60.0,False,0.515325510066151,0.24550651574387158,0.4087957102943897,0.481169066577927,0.1988823473582816,0.2982684160044803,0.3898759120348041,0.11096258077661175
147,2,0.0,90.0,False,0.717638238370537,0.45916161189600235,0.7328406889086063,0.5014459898652941,0.035343509226118695,0.503866415978238,0.6365468463917152,0.1255837560844419
148,2,0.0,120.0,False,1.2119079402996826,0.6641162442318422,1.2280002694172722,1.100934648885973,0.10153358169927332,1.1189466512750013,1.0346748179829324,0.2621068270755759
149,2,0.0,150.0,False,1.4128225151124998,0.303319229691678,1.3909614422271095,1.3008394416966675,0.1311830166865492,1.2938374080976076,1.0357010623437624,0.5179490568424945
150,2,0.0,180.0,False,1.6438193255814477,0.21526591018704244,1.6933464616261495,1.5673393488450866,0.0852500223191241,1.615322703656606,1.1841438991315465,0.6853984983920218
151,2,0.0,210.0,False,1.9335810609980353,0.33947151094211414,1.9761842740379816,1.752000510716392,0.11835710662002141,1.7917025617619249,1.4164122819927103,0.7617107179253908
152,2,0.0,240.0,False,1.7651578892874422,0.5921342522938516,1.9378477689054974,1.4255178593222992,0.2082679480256175,1.5936423552747345,1.4317133034955971,0.5978434499896228
153,2,0.0,270.0,False,2.1396301033465113,1.126116704916262,2.1025519521888394,1.257992548852543,0.05332244352281095,1.2247556528810644,1.7894329201505375,0.4692795885666033
154,2,0.0,300.0,False,2.294531586371164,1.345834914986971,2.2621443879562886,1.180270095250652,0.0729785696494861,1.164153165170836,1.9675036297714747,0.43978496704764963
155,2,0.0,330.0,False,1.7403395705342053,1.0742450890406672,1.719394337385737,0.8178250982934361,0.08785739903546613,0.8128037533659804,1.511326332320203,0.30918137677637225
156,2,30.0,0.0,False,1.3645670157429965,0.9545431812581894,1.2671988571393802,0.509028730427981,0.13920687310699828,0.3956948614440361,1.1954363513801887,0.1749138438127652
